MainDrug,NDC,Strength,Formulation,Inactive
asafetida,59667-0039,30 [hp_C]  in 30 [hp_C],"anacardium 30c, argentum muriaticum 30c, arnica 30c, aurum met 30c, bryonia 30c, calc phos. 30c, capsicum 30c, causticum 30c, euphrasia 30c, hydrofluoricum acidum 30c, nitricum acidum 30c, nux vomica 30c, plumbum met. 30c, rhus tox 30c, ruta grav 30c, staphysagria 30c, valeriana 30c spray",CAPSICUM
asafetida,59667-0039,30 [hp_C]  in 30 [hp_C],"anacardium 30c, argentum muriaticum 30c, arnica 30c, aurum met 30c, bryonia 30c, calc phos. 30c, capsicum 30c, causticum 30c, euphrasia 30c, hydrofluoricum acidum 30c, nitricum acidum 30c, nux vomica 30c, plumbum met. 30c, rhus tox 30c, ruta grav 30c, staphysagria 30c, valeriana 30c spray",CAUSTICUM
asafetida,59667-0039,30 [hp_C]  in 30 [hp_C],"anacardium 30c, argentum muriaticum 30c, arnica 30c, aurum met 30c, bryonia 30c, calc phos. 30c, capsicum 30c, causticum 30c, euphrasia 30c, hydrofluoricum acidum 30c, nitricum acidum 30c, nux vomica 30c, plumbum met. 30c, rhus tox 30c, ruta grav 30c, staphysagria 30c, valeriana 30c spray",EUPHRASIA STRICTA
asafetida,59667-0039,30 [hp_C]  in 30 [hp_C],"anacardium 30c, argentum muriaticum 30c, arnica 30c, aurum met 30c, bryonia 30c, calc phos. 30c, capsicum 30c, causticum 30c, euphrasia 30c, hydrofluoricum acidum 30c, nitricum acidum 30c, nux vomica 30c, plumbum met. 30c, rhus tox 30c, ruta grav 30c, staphysagria 30c, valeriana 30c spray",HYDROFLUORIC ACID
asafetida,59667-0039,30 [hp_C]  in 30 [hp_C],"anacardium 30c, argentum muriaticum 30c, arnica 30c, aurum met 30c, bryonia 30c, calc phos. 30c, capsicum 30c, causticum 30c, euphrasia 30c, hydrofluoricum acidum 30c, nitricum acidum 30c, nux vomica 30c, plumbum met. 30c, rhus tox 30c, ruta grav 30c, staphysagria 30c, valeriana 30c spray",NITRIC ACID
asafetida,59667-0039,30 [hp_C]  in 30 [hp_C],"anacardium 30c, argentum muriaticum 30c, arnica 30c, aurum met 30c, bryonia 30c, calc phos. 30c, capsicum 30c, causticum 30c, euphrasia 30c, hydrofluoricum acidum 30c, nitricum acidum 30c, nux vomica 30c, plumbum met. 30c, rhus tox 30c, ruta grav 30c, staphysagria 30c, valeriana 30c spray",STRYCHNOS NUX-VOMICA SEED
asafetida,59667-0039,30 [hp_C]  in 30 [hp_C],"anacardium 30c, argentum muriaticum 30c, arnica 30c, aurum met 30c, bryonia 30c, calc phos. 30c, capsicum 30c, causticum 30c, euphrasia 30c, hydrofluoricum acidum 30c, nitricum acidum 30c, nux vomica 30c, plumbum met. 30c, rhus tox 30c, ruta grav 30c, staphysagria 30c, valeriana 30c spray",LEAD
asafetida,59667-0039,30 [hp_C]  in 30 [hp_C],"anacardium 30c, argentum muriaticum 30c, arnica 30c, aurum met 30c, bryonia 30c, calc phos. 30c, capsicum 30c, causticum 30c, euphrasia 30c, hydrofluoricum acidum 30c, nitricum acidum 30c, nux vomica 30c, plumbum met. 30c, rhus tox 30c, ruta grav 30c, staphysagria 30c, valeriana 30c spray",TOXICODENDRON PUBESCENS LEAF
asafetida,59667-0039,30 [hp_C]  in 30 [hp_C],"anacardium 30c, argentum muriaticum 30c, arnica 30c, aurum met 30c, bryonia 30c, calc phos. 30c, capsicum 30c, causticum 30c, euphrasia 30c, hydrofluoricum acidum 30c, nitricum acidum 30c, nux vomica 30c, plumbum met. 30c, rhus tox 30c, ruta grav 30c, staphysagria 30c, valeriana 30c spray",RUTA GRAVEOLENS FLOWERING TOP
asafetida,59667-0039,30 [hp_C]  in 30 [hp_C],"anacardium 30c, argentum muriaticum 30c, arnica 30c, aurum met 30c, bryonia 30c, calc phos. 30c, capsicum 30c, causticum 30c, euphrasia 30c, hydrofluoricum acidum 30c, nitricum acidum 30c, nux vomica 30c, plumbum met. 30c, rhus tox 30c, ruta grav 30c, staphysagria 30c, valeriana 30c spray",DELPHINIUM STAPHISAGRIA SEED
asafetida,59667-0039,30 [hp_C]  in 30 [hp_C],"anacardium 30c, argentum muriaticum 30c, arnica 30c, aurum met 30c, bryonia 30c, calc phos. 30c, capsicum 30c, causticum 30c, euphrasia 30c, hydrofluoricum acidum 30c, nitricum acidum 30c, nux vomica 30c, plumbum met. 30c, rhus tox 30c, ruta grav 30c, staphysagria 30c, valeriana 30c spray",VALERIAN
asafetida,59667-0039,30 [hp_C]  in 30 [hp_C],"anacardium 30c, argentum muriaticum 30c, arnica 30c, aurum met 30c, bryonia 30c, calc phos. 30c, capsicum 30c, causticum 30c, euphrasia 30c, hydrofluoricum acidum 30c, nitricum acidum 30c, nux vomica 30c, plumbum met. 30c, rhus tox 30c, ruta grav 30c, staphysagria 30c, valeriana 30c spray",WATER
asafetida,59667-0039,30 [hp_C]  in 30 [hp_C],"anacardium 30c, argentum muriaticum 30c, arnica 30c, aurum met 30c, bryonia 30c, calc phos. 30c, capsicum 30c, causticum 30c, euphrasia 30c, hydrofluoricum acidum 30c, nitricum acidum 30c, nux vomica 30c, plumbum met. 30c, rhus tox 30c, ruta grav 30c, staphysagria 30c, valeriana 30c spray",ALCOHOL
asafetida,59667-0040,30 [hp_C]  in 30 [hp_C],"absinthium 30c, aurum met. 30c, bambusa 30c, baryta carb 30c, baryta mur 30c, carboneum sulph 30c, conium 30c, dulcamara 30c, euphrasia 30c, ferrum iodatum 30c, graphites 30c,  ignatia 30c, iodium 30c, kali carb 30c, lycopodium 30c, pulsatilla 30c, senecio 30c, sepia 30c, silicea 30c, sabal 30c, sulphur 30c spray",WORMWOOD
asafetida,59667-0040,30 [hp_C]  in 30 [hp_C],"absinthium 30c, aurum met. 30c, bambusa 30c, baryta carb 30c, baryta mur 30c, carboneum sulph 30c, conium 30c, dulcamara 30c, euphrasia 30c, ferrum iodatum 30c, graphites 30c,  ignatia 30c, iodium 30c, kali carb 30c, lycopodium 30c, pulsatilla 30c, senecio 30c, sepia 30c, silicea 30c, sabal 30c, sulphur 30c spray",GOLD
asafetida,59667-0040,30 [hp_C]  in 30 [hp_C],"absinthium 30c, aurum met. 30c, bambusa 30c, baryta carb 30c, baryta mur 30c, carboneum sulph 30c, conium 30c, dulcamara 30c, euphrasia 30c, ferrum iodatum 30c, graphites 30c,  ignatia 30c, iodium 30c, kali carb 30c, lycopodium 30c, pulsatilla 30c, senecio 30c, sepia 30c, silicea 30c, sabal 30c, sulphur 30c spray",BAMBUSA BAMBOS WHOLE
asafetida,59667-0040,30 [hp_C]  in 30 [hp_C],"absinthium 30c, aurum met. 30c, bambusa 30c, baryta carb 30c, baryta mur 30c, carboneum sulph 30c, conium 30c, dulcamara 30c, euphrasia 30c, ferrum iodatum 30c, graphites 30c,  ignatia 30c, iodium 30c, kali carb 30c, lycopodium 30c, pulsatilla 30c, senecio 30c, sepia 30c, silicea 30c, sabal 30c, sulphur 30c spray",BARIUM CARBONATE
asafetida,59667-0040,30 [hp_C]  in 30 [hp_C],"absinthium 30c, aurum met. 30c, bambusa 30c, baryta carb 30c, baryta mur 30c, carboneum sulph 30c, conium 30c, dulcamara 30c, euphrasia 30c, ferrum iodatum 30c, graphites 30c,  ignatia 30c, iodium 30c, kali carb 30c, lycopodium 30c, pulsatilla 30c, senecio 30c, sepia 30c, silicea 30c, sabal 30c, sulphur 30c spray",BARIUM CHLORIDE DIHYDRATE
asafetida,59667-0040,30 [hp_C]  in 30 [hp_C],"absinthium 30c, aurum met. 30c, bambusa 30c, baryta carb 30c, baryta mur 30c, carboneum sulph 30c, conium 30c, dulcamara 30c, euphrasia 30c, ferrum iodatum 30c, graphites 30c,  ignatia 30c, iodium 30c, kali carb 30c, lycopodium 30c, pulsatilla 30c, senecio 30c, sepia 30c, silicea 30c, sabal 30c, sulphur 30c spray",CARBON DISULFIDE
asafetida,59667-0040,30 [hp_C]  in 30 [hp_C],"absinthium 30c, aurum met. 30c, bambusa 30c, baryta carb 30c, baryta mur 30c, carboneum sulph 30c, conium 30c, dulcamara 30c, euphrasia 30c, ferrum iodatum 30c, graphites 30c,  ignatia 30c, iodium 30c, kali carb 30c, lycopodium 30c, pulsatilla 30c, senecio 30c, sepia 30c, silicea 30c, sabal 30c, sulphur 30c spray",CONIUM MACULATUM FLOWERING TOP
asafetida,59667-0040,30 [hp_C]  in 30 [hp_C],"absinthium 30c, aurum met. 30c, bambusa 30c, baryta carb 30c, baryta mur 30c, carboneum sulph 30c, conium 30c, dulcamara 30c, euphrasia 30c, ferrum iodatum 30c, graphites 30c,  ignatia 30c, iodium 30c, kali carb 30c, lycopodium 30c, pulsatilla 30c, senecio 30c, sepia 30c, silicea 30c, sabal 30c, sulphur 30c spray",SOLANUM DULCAMARA TOP
asafetida,59667-0040,30 [hp_C]  in 30 [hp_C],"absinthium 30c, aurum met. 30c, bambusa 30c, baryta carb 30c, baryta mur 30c, carboneum sulph 30c, conium 30c, dulcamara 30c, euphrasia 30c, ferrum iodatum 30c, graphites 30c,  ignatia 30c, iodium 30c, kali carb 30c, lycopodium 30c, pulsatilla 30c, senecio 30c, sepia 30c, silicea 30c, sabal 30c, sulphur 30c spray",EUPHRASIA STRICTA
asafetida,59667-0040,30 [hp_C]  in 30 [hp_C],"absinthium 30c, aurum met. 30c, bambusa 30c, baryta carb 30c, baryta mur 30c, carboneum sulph 30c, conium 30c, dulcamara 30c, euphrasia 30c, ferrum iodatum 30c, graphites 30c,  ignatia 30c, iodium 30c, kali carb 30c, lycopodium 30c, pulsatilla 30c, senecio 30c, sepia 30c, silicea 30c, sabal 30c, sulphur 30c spray",FERROUS IODIDE
asafetida,59667-0040,30 [hp_C]  in 30 [hp_C],"absinthium 30c, aurum met. 30c, bambusa 30c, baryta carb 30c, baryta mur 30c, carboneum sulph 30c, conium 30c, dulcamara 30c, euphrasia 30c, ferrum iodatum 30c, graphites 30c,  ignatia 30c, iodium 30c, kali carb 30c, lycopodium 30c, pulsatilla 30c, senecio 30c, sepia 30c, silicea 30c, sabal 30c, sulphur 30c spray",GRAPHITE
asafetida,59667-0040,30 [hp_C]  in 30 [hp_C],"absinthium 30c, aurum met. 30c, bambusa 30c, baryta carb 30c, baryta mur 30c, carboneum sulph 30c, conium 30c, dulcamara 30c, euphrasia 30c, ferrum iodatum 30c, graphites 30c,  ignatia 30c, iodium 30c, kali carb 30c, lycopodium 30c, pulsatilla 30c, senecio 30c, sepia 30c, silicea 30c, sabal 30c, sulphur 30c spray",STRYCHNOS IGNATII SEED
asafetida,59667-0040,30 [hp_C]  in 30 [hp_C],"absinthium 30c, aurum met. 30c, bambusa 30c, baryta carb 30c, baryta mur 30c, carboneum sulph 30c, conium 30c, dulcamara 30c, euphrasia 30c, ferrum iodatum 30c, graphites 30c,  ignatia 30c, iodium 30c, kali carb 30c, lycopodium 30c, pulsatilla 30c, senecio 30c, sepia 30c, silicea 30c, sabal 30c, sulphur 30c spray",iodine
asafetida,59667-0040,30 [hp_C]  in 30 [hp_C],"absinthium 30c, aurum met. 30c, bambusa 30c, baryta carb 30c, baryta mur 30c, carboneum sulph 30c, conium 30c, dulcamara 30c, euphrasia 30c, ferrum iodatum 30c, graphites 30c,  ignatia 30c, iodium 30c, kali carb 30c, lycopodium 30c, pulsatilla 30c, senecio 30c, sepia 30c, silicea 30c, sabal 30c, sulphur 30c spray",POTASSIUM CARBONATE
asafetida,59667-0040,30 [hp_C]  in 30 [hp_C],"absinthium 30c, aurum met. 30c, bambusa 30c, baryta carb 30c, baryta mur 30c, carboneum sulph 30c, conium 30c, dulcamara 30c, euphrasia 30c, ferrum iodatum 30c, graphites 30c,  ignatia 30c, iodium 30c, kali carb 30c, lycopodium 30c, pulsatilla 30c, senecio 30c, sepia 30c, silicea 30c, sabal 30c, sulphur 30c spray",LYCOPODIUM CLAVATUM SPORE
asafetida,59667-0040,30 [hp_C]  in 30 [hp_C],"absinthium 30c, aurum met. 30c, bambusa 30c, baryta carb 30c, baryta mur 30c, carboneum sulph 30c, conium 30c, dulcamara 30c, euphrasia 30c, ferrum iodatum 30c, graphites 30c,  ignatia 30c, iodium 30c, kali carb 30c, lycopodium 30c, pulsatilla 30c, senecio 30c, sepia 30c, silicea 30c, sabal 30c, sulphur 30c spray",PULSATILLA VULGARIS
asafetida,59667-0040,30 [hp_C]  in 30 [hp_C],"absinthium 30c, aurum met. 30c, bambusa 30c, baryta carb 30c, baryta mur 30c, carboneum sulph 30c, conium 30c, dulcamara 30c, euphrasia 30c, ferrum iodatum 30c, graphites 30c,  ignatia 30c, iodium 30c, kali carb 30c, lycopodium 30c, pulsatilla 30c, senecio 30c, sepia 30c, silicea 30c, sabal 30c, sulphur 30c spray",SAW PALMETTO
asafetida,59667-0040,30 [hp_C]  in 30 [hp_C],"absinthium 30c, aurum met. 30c, bambusa 30c, baryta carb 30c, baryta mur 30c, carboneum sulph 30c, conium 30c, dulcamara 30c, euphrasia 30c, ferrum iodatum 30c, graphites 30c,  ignatia 30c, iodium 30c, kali carb 30c, lycopodium 30c, pulsatilla 30c, senecio 30c, sepia 30c, silicea 30c, sabal 30c, sulphur 30c spray",SILICON DIOXIDE
asafetida,59667-0040,30 [hp_C]  in 30 [hp_C],"absinthium 30c, aurum met. 30c, bambusa 30c, baryta carb 30c, baryta mur 30c, carboneum sulph 30c, conium 30c, dulcamara 30c, euphrasia 30c, ferrum iodatum 30c, graphites 30c,  ignatia 30c, iodium 30c, kali carb 30c, lycopodium 30c, pulsatilla 30c, senecio 30c, sepia 30c, silicea 30c, sabal 30c, sulphur 30c spray",PACKERA AUREA
asafetida,59667-0040,30 [hp_C]  in 30 [hp_C],"absinthium 30c, aurum met. 30c, bambusa 30c, baryta carb 30c, baryta mur 30c, carboneum sulph 30c, conium 30c, dulcamara 30c, euphrasia 30c, ferrum iodatum 30c, graphites 30c,  ignatia 30c, iodium 30c, kali carb 30c, lycopodium 30c, pulsatilla 30c, senecio 30c, sepia 30c, silicea 30c, sabal 30c, sulphur 30c spray",SEPIA OFFICINALIS JUICE
asafetida,59667-0040,30 [hp_C]  in 30 [hp_C],"absinthium 30c, aurum met. 30c, bambusa 30c, baryta carb 30c, baryta mur 30c, carboneum sulph 30c, conium 30c, dulcamara 30c, euphrasia 30c, ferrum iodatum 30c, graphites 30c,  ignatia 30c, iodium 30c, kali carb 30c, lycopodium 30c, pulsatilla 30c, senecio 30c, sepia 30c, silicea 30c, sabal 30c, sulphur 30c spray",SULFUR
asafetida,59667-0040,30 [hp_C]  in 30 [hp_C],"absinthium 30c, aurum met. 30c, bambusa 30c, baryta carb 30c, baryta mur 30c, carboneum sulph 30c, conium 30c, dulcamara 30c, euphrasia 30c, ferrum iodatum 30c, graphites 30c,  ignatia 30c, iodium 30c, kali carb 30c, lycopodium 30c, pulsatilla 30c, senecio 30c, sepia 30c, silicea 30c, sabal 30c, sulphur 30c spray",WATER
asafetida,59667-0040,30 [hp_C]  in 30 [hp_C],"absinthium 30c, aurum met. 30c, bambusa 30c, baryta carb 30c, baryta mur 30c, carboneum sulph 30c, conium 30c, dulcamara 30c, euphrasia 30c, ferrum iodatum 30c, graphites 30c,  ignatia 30c, iodium 30c, kali carb 30c, lycopodium 30c, pulsatilla 30c, senecio 30c, sepia 30c, silicea 30c, sabal 30c, sulphur 30c spray",ALCOHOL
asafetida,59667-0041,30 [hp_C]  in 30 [hp_C],"aceticum acidum 30c, aconite 30c, arnica 30c, allium cepa 30c, belladonna 30c, calendula 30c, hepar sulph 30c, hypericum 30c, phosphorous 30c, pyrogenium 30c, silicea 30c, staphysagria spray",ACETIC ACID
asafetida,59667-0041,30 [hp_C]  in 30 [hp_C],"aceticum acidum 30c, aconite 30c, arnica 30c, allium cepa 30c, belladonna 30c, calendula 30c, hepar sulph 30c, hypericum 30c, phosphorous 30c, pyrogenium 30c, silicea 30c, staphysagria spray",ACONITUM NAPELLUS
asafetida,59667-0041,30 [hp_C]  in 30 [hp_C],"aceticum acidum 30c, aconite 30c, arnica 30c, allium cepa 30c, belladonna 30c, calendula 30c, hepar sulph 30c, hypericum 30c, phosphorous 30c, pyrogenium 30c, silicea 30c, staphysagria spray",ARNICA MONTANA
asafetida,59667-0041,30 [hp_C]  in 30 [hp_C],"aceticum acidum 30c, aconite 30c, arnica 30c, allium cepa 30c, belladonna 30c, calendula 30c, hepar sulph 30c, hypericum 30c, phosphorous 30c, pyrogenium 30c, silicea 30c, staphysagria spray",ALLIUM CEPA WHOLE
asafetida,59667-0041,30 [hp_C]  in 30 [hp_C],"aceticum acidum 30c, aconite 30c, arnica 30c, allium cepa 30c, belladonna 30c, calendula 30c, hepar sulph 30c, hypericum 30c, phosphorous 30c, pyrogenium 30c, silicea 30c, staphysagria spray",ATROPA BELLADONNA
asafetida,59667-0041,30 [hp_C]  in 30 [hp_C],"aceticum acidum 30c, aconite 30c, arnica 30c, allium cepa 30c, belladonna 30c, calendula 30c, hepar sulph 30c, hypericum 30c, phosphorous 30c, pyrogenium 30c, silicea 30c, staphysagria spray",CALENDULA OFFICINALIS FLOWERING TOP
asafetida,59667-0041,30 [hp_C]  in 30 [hp_C],"aceticum acidum 30c, aconite 30c, arnica 30c, allium cepa 30c, belladonna 30c, calendula 30c, hepar sulph 30c, hypericum 30c, phosphorous 30c, pyrogenium 30c, silicea 30c, staphysagria spray",CALCIUM SULFIDE
asafetida,59667-0041,30 [hp_C]  in 30 [hp_C],"aceticum acidum 30c, aconite 30c, arnica 30c, allium cepa 30c, belladonna 30c, calendula 30c, hepar sulph 30c, hypericum 30c, phosphorous 30c, pyrogenium 30c, silicea 30c, staphysagria spray",HYPERICUM PERFORATUM
asafetida,59667-0041,30 [hp_C]  in 30 [hp_C],"aceticum acidum 30c, aconite 30c, arnica 30c, allium cepa 30c, belladonna 30c, calendula 30c, hepar sulph 30c, hypericum 30c, phosphorous 30c, pyrogenium 30c, silicea 30c, staphysagria spray",PHOSPHORUS
asafetida,59667-0041,30 [hp_C]  in 30 [hp_C],"aceticum acidum 30c, aconite 30c, arnica 30c, allium cepa 30c, belladonna 30c, calendula 30c, hepar sulph 30c, hypericum 30c, phosphorous 30c, pyrogenium 30c, silicea 30c, staphysagria spray",RANCID BEEF
asafetida,59667-0041,30 [hp_C]  in 30 [hp_C],"aceticum acidum 30c, aconite 30c, arnica 30c, allium cepa 30c, belladonna 30c, calendula 30c, hepar sulph 30c, hypericum 30c, phosphorous 30c, pyrogenium 30c, silicea 30c, staphysagria spray",SILICON DIOXIDE
asafetida,59667-0041,30 [hp_C]  in 30 [hp_C],"aceticum acidum 30c, aconite 30c, arnica 30c, allium cepa 30c, belladonna 30c, calendula 30c, hepar sulph 30c, hypericum 30c, phosphorous 30c, pyrogenium 30c, silicea 30c, staphysagria spray",DELPHINIUM STAPHISAGRIA SEED
asafetida,59667-0041,30 [hp_C]  in 30 [hp_C],"aceticum acidum 30c, aconite 30c, arnica 30c, allium cepa 30c, belladonna 30c, calendula 30c, hepar sulph 30c, hypericum 30c, phosphorous 30c, pyrogenium 30c, silicea 30c, staphysagria spray",WATER
asafetida,59667-0041,30 [hp_C]  in 30 [hp_C],"aceticum acidum 30c, aconite 30c, arnica 30c, allium cepa 30c, belladonna 30c, calendula 30c, hepar sulph 30c, hypericum 30c, phosphorous 30c, pyrogenium 30c, silicea 30c, staphysagria spray",ALCOHOL
asafetida,59667-0042,30 [hp_C]  in 30 [hp_C],"arsenicum 30c, belladonna 30c, bryonia 30c, carbo animalis 30c, cinchona 30c, cina 30c, colocynthis 30c, graphites 30c,  ignatia 30c, lycopodium 30c, nat mur 30c, nitricum acidum 30c, rhus tox spray",ARSENIC ACID
asafetida,59667-0042,30 [hp_C]  in 30 [hp_C],"arsenicum 30c, belladonna 30c, bryonia 30c, carbo animalis 30c, cinchona 30c, cina 30c, colocynthis 30c, graphites 30c,  ignatia 30c, lycopodium 30c, nat mur 30c, nitricum acidum 30c, rhus tox spray",ATROPA BELLADONNA
asafetida,59667-0042,30 [hp_C]  in 30 [hp_C],"arsenicum 30c, belladonna 30c, bryonia 30c, carbo animalis 30c, cinchona 30c, cina 30c, colocynthis 30c, graphites 30c,  ignatia 30c, lycopodium 30c, nat mur 30c, nitricum acidum 30c, rhus tox spray",BRYONIA ALBA ROOT
asafetida,59667-0042,30 [hp_C]  in 30 [hp_C],"arsenicum 30c, belladonna 30c, bryonia 30c, carbo animalis 30c, cinchona 30c, cina 30c, colocynthis 30c, graphites 30c,  ignatia 30c, lycopodium 30c, nat mur 30c, nitricum acidum 30c, rhus tox spray",CARBO ANIMALIS
asafetida,59667-0042,30 [hp_C]  in 30 [hp_C],"arsenicum 30c, belladonna 30c, bryonia 30c, carbo animalis 30c, cinchona 30c, cina 30c, colocynthis 30c, graphites 30c,  ignatia 30c, lycopodium 30c, nat mur 30c, nitricum acidum 30c, rhus tox spray",CINCHONA OFFICINALIS BARK
asafetida,59667-0042,30 [hp_C]  in 30 [hp_C],"arsenicum 30c, belladonna 30c, bryonia 30c, carbo animalis 30c, cinchona 30c, cina 30c, colocynthis 30c, graphites 30c,  ignatia 30c, lycopodium 30c, nat mur 30c, nitricum acidum 30c, rhus tox spray",ARTEMISIA CINA PRE-FLOWERING TOP
asafetida,59667-0042,30 [hp_C]  in 30 [hp_C],"arsenicum 30c, belladonna 30c, bryonia 30c, carbo animalis 30c, cinchona 30c, cina 30c, colocynthis 30c, graphites 30c,  ignatia 30c, lycopodium 30c, nat mur 30c, nitricum acidum 30c, rhus tox spray",CITRULLUS COLOCYNTHIS FRUIT PULP
asafetida,59667-0042,30 [hp_C]  in 30 [hp_C],"arsenicum 30c, belladonna 30c, bryonia 30c, carbo animalis 30c, cinchona 30c, cina 30c, colocynthis 30c, graphites 30c,  ignatia 30c, lycopodium 30c, nat mur 30c, nitricum acidum 30c, rhus tox spray",GRAPHITE
asafetida,59667-0042,30 [hp_C]  in 30 [hp_C],"arsenicum 30c, belladonna 30c, bryonia 30c, carbo animalis 30c, cinchona 30c, cina 30c, colocynthis 30c, graphites 30c,  ignatia 30c, lycopodium 30c, nat mur 30c, nitricum acidum 30c, rhus tox spray",STRYCHNOS IGNATII SEED
asafetida,59667-0042,30 [hp_C]  in 30 [hp_C],"arsenicum 30c, belladonna 30c, bryonia 30c, carbo animalis 30c, cinchona 30c, cina 30c, colocynthis 30c, graphites 30c,  ignatia 30c, lycopodium 30c, nat mur 30c, nitricum acidum 30c, rhus tox spray",LYCOPODIUM CLAVATUM SPORE
asafetida,59667-0042,30 [hp_C]  in 30 [hp_C],"arsenicum 30c, belladonna 30c, bryonia 30c, carbo animalis 30c, cinchona 30c, cina 30c, colocynthis 30c, graphites 30c,  ignatia 30c, lycopodium 30c, nat mur 30c, nitricum acidum 30c, rhus tox spray",SODIUM CHLORIDE
asafetida,59667-0042,30 [hp_C]  in 30 [hp_C],"arsenicum 30c, belladonna 30c, bryonia 30c, carbo animalis 30c, cinchona 30c, cina 30c, colocynthis 30c, graphites 30c,  ignatia 30c, lycopodium 30c, nat mur 30c, nitricum acidum 30c, rhus tox spray",NITRIC ACID
asafetida,59667-0042,30 [hp_C]  in 30 [hp_C],"arsenicum 30c, belladonna 30c, bryonia 30c, carbo animalis 30c, cinchona 30c, cina 30c, colocynthis 30c, graphites 30c,  ignatia 30c, lycopodium 30c, nat mur 30c, nitricum acidum 30c, rhus tox spray",TOXICODENDRON PUBESCENS LEAF
asafetida,59667-0042,30 [hp_C]  in 30 [hp_C],"arsenicum 30c, belladonna 30c, bryonia 30c, carbo animalis 30c, cinchona 30c, cina 30c, colocynthis 30c, graphites 30c,  ignatia 30c, lycopodium 30c, nat mur 30c, nitricum acidum 30c, rhus tox spray",WATER
asafetida,59667-0042,30 [hp_C]  in 30 [hp_C],"arsenicum 30c, belladonna 30c, bryonia 30c, carbo animalis 30c, cinchona 30c, cina 30c, colocynthis 30c, graphites 30c,  ignatia 30c, lycopodium 30c, nat mur 30c, nitricum acidum 30c, rhus tox spray",ALCOHOL
sus scrofa adrenal gland,43772-0002,8 [hp_X]  in 1 mL,"glandula suprarenalis suis, brain (suis), kidney (suis), ubiquinone, agaricus muscarius, coccus cacti, conium maculatum, phosphorus, rhus tox, naja tripudians, latrodectus mactans, tarentula cubensis, gelsemium sempervirens, epstein barr nosodes, herpes zoster nosodes, morbillinum, poliomyelitis nosodes, hepatitis b nosodes, coxsackie b1 nosodes, coxsackie b4 nosodes, aspartame, benzalkonium chloride, formalinum, methylene chloride, methyl paraben, propyl paraben, sodium benzoate, liquid",HUMAN COXSACKIEVIRUS B4
sus scrofa adrenal gland,43772-0002,8 [hp_X]  in 1 mL,"glandula suprarenalis suis, brain (suis), kidney (suis), ubiquinone, agaricus muscarius, coccus cacti, conium maculatum, phosphorus, rhus tox, naja tripudians, latrodectus mactans, tarentula cubensis, gelsemium sempervirens, epstein barr nosodes, herpes zoster nosodes, morbillinum, poliomyelitis nosodes, hepatitis b nosodes, coxsackie b1 nosodes, coxsackie b4 nosodes, aspartame, benzalkonium chloride, formalinum, methylene chloride, methyl paraben, propyl paraben, sodium benzoate, liquid",PORK BRAIN
sus scrofa adrenal gland,43772-0002,8 [hp_X]  in 1 mL,"glandula suprarenalis suis, brain (suis), kidney (suis), ubiquinone, agaricus muscarius, coccus cacti, conium maculatum, phosphorus, rhus tox, naja tripudians, latrodectus mactans, tarentula cubensis, gelsemium sempervirens, epstein barr nosodes, herpes zoster nosodes, morbillinum, poliomyelitis nosodes, hepatitis b nosodes, coxsackie b1 nosodes, coxsackie b4 nosodes, aspartame, benzalkonium chloride, formalinum, methylene chloride, methyl paraben, propyl paraben, sodium benzoate, liquid",PORK KIDNEY
sus scrofa adrenal gland,43772-0002,8 [hp_X]  in 1 mL,"glandula suprarenalis suis, brain (suis), kidney (suis), ubiquinone, agaricus muscarius, coccus cacti, conium maculatum, phosphorus, rhus tox, naja tripudians, latrodectus mactans, tarentula cubensis, gelsemium sempervirens, epstein barr nosodes, herpes zoster nosodes, morbillinum, poliomyelitis nosodes, hepatitis b nosodes, coxsackie b1 nosodes, coxsackie b4 nosodes, aspartame, benzalkonium chloride, formalinum, methylene chloride, methyl paraben, propyl paraben, sodium benzoate, liquid",UBIDECARENONE
sus scrofa adrenal gland,43772-0002,8 [hp_X]  in 1 mL,"glandula suprarenalis suis, brain (suis), kidney (suis), ubiquinone, agaricus muscarius, coccus cacti, conium maculatum, phosphorus, rhus tox, naja tripudians, latrodectus mactans, tarentula cubensis, gelsemium sempervirens, epstein barr nosodes, herpes zoster nosodes, morbillinum, poliomyelitis nosodes, hepatitis b nosodes, coxsackie b1 nosodes, coxsackie b4 nosodes, aspartame, benzalkonium chloride, formalinum, methylene chloride, methyl paraben, propyl paraben, sodium benzoate, liquid",AMANITA MUSCARIA VAR. MUSCARIA FRUITING BODY
sus scrofa adrenal gland,43772-0002,12 [hp_X]  in 1 mL,"glandula suprarenalis suis, brain (suis), kidney (suis), ubiquinone, agaricus muscarius, coccus cacti, conium maculatum, phosphorus, rhus tox, naja tripudians, latrodectus mactans, tarentula cubensis, gelsemium sempervirens, epstein barr nosodes, herpes zoster nosodes, morbillinum, poliomyelitis nosodes, hepatitis b nosodes, coxsackie b1 nosodes, coxsackie b4 nosodes, aspartame, benzalkonium chloride, formalinum, methylene chloride, methyl paraben, propyl paraben, sodium benzoate, liquid",PROTORTONIA CACTI
